
// Descrição:   Posição das plataformas do nível 1
//
//
//  posX    posY    platType
    600     600     2
   
     1368    400     2
    2136    300     2
    2904    600     2
    3672     600     2
   
    4450     400     0
    5208     600     2
    5976     600     2
    7000     600     2
 
    7900 500 0
    8300 500 0
    8700 500 0

    9100 400 0
    9500 500 0
    9900 400 0

    10600 600 2
    11368 600 2
    12136 500 2
    12904 500 2

    13600  600 0
    14000  600 0
    14400  400 0
    14800  600 0
    15200  400 0
    15600  600 0

    16200 600 2
    16900 400 0
    17200 600 0
    17600 400 0
    18000 300 0
    18500    600     3
    
     //900 100 2
     //900 530 0
