//PosX PosY
1200 320
1300 320
1400 320
1650 320

2100 240
2200 240
2300 240


2600 540
2600 240
2700 540
2700 240
2900 540
3100 540

3500 530
3800 530

4350 320
4450 320
4550 320

4900 530
5000 530
5100 530
5200 530
5300 530

//5600 530
5700 530
5800 530
//5900 530
6000 530
6100 530
6300 530

6700 530
6800 530
6900 530
7000 530
7340 530

7800 330
7900 330
8000 330
//8100 330


8400 330
8500 330
8600 330
//9000 330

9420 430
9520 430
9620 430

//10300 530
//10400 530
10500 530
10600 530
10700 530
10800 530
10900 530
11000 530
11100 530
11200 530
11300 530
11400 530
//11500 530
//11600 530
11700 530
11800 430
//11900 430
12000 430
12100 430
12200 430
12300 430
12400 430
12500 430
12600 430
//12700 430
12800 430
12900 430

13500 530
13600 530
13700 530

13900 530
14000 530
14100 530

14300 330
14400 330
//14500 330

14700 530
14800 530
14900 530

15100 330
15200 330
15300 330

15500 530
15600 530
15700 530

15900 530
//16000 530
16100 530
16200 530
16300 530
16400 530

16800 330
16900 330
//17000 330

17100 530
17200 530
17300 530

17500 330
17600 330
//17700 330


