// Gravity Guy
// Criação:        14 Fev 2013
// Atualização:    27 Set 2021
// Descrição:   Posição das plataformas do nível 1
//
//
//  posX    posY    platType
    600     600     2
   
     1368    600     2
     2136    600     2
     2136    200     2
     
     2904  400 0

     3672 600 2
     3672 200 2
     
     4440 400 0 
     5208 400 0

     6240 600 2

     7000 400 1
     7768 600 0
     8400 400 0
     9168 600 2
     9936 600 2
     10704 400 2

     11472 400 0
     11840 700 1
     12400 400 2

     13000 400 0
     13400 600 0
     13800 400 0
     14200 600 0
     //14600 400 0
     14600 400 0
     15000 600 0
     15700 400 1
     16400 600 1
     17100 400 1

     17600 400 0
     18000 600 0
     18768 400 2
     19536 600 2
     20000 600 0


    20500    600     3
    
